x,y,z,dist
-364.730499,94.355164,-566.285400,705.000000
-364.652954,94.359787,-566.866577,706.000000
-364.398285,94.372322,-568.574463,708.000000
-364.209930,94.378967,-569.683655,709.000000
-364.109833,94.381622,-570.229980,709.000000
-363.898285,94.385742,-571.304688,710.000000
-363.550232,94.389938,-572.873352,712.000000
-363.426575,94.390846,-573.384094,712.000000
-363.299255,94.391182,-573.888977,713.000000
-362.603973,94.388046,-576.322693,715.000000
-362.452576,94.387032,-576.791016,716.000000
-362.137939,94.384308,-577.709900,717.000000
-361.808746,94.380455,-578.604736,718.000000
-361.638916,94.378143,-579.043396,718.000000
-361.466156,94.375565,-579.475830,719.000000
-360.558838,94.360344,-581.545532,721.000000
-360.369659,94.356834,-581.940613,721.000000
-359.386292,94.337219,-583.822937,723.000000
-359.183105,94.333046,-584.180176,725.000000
-358.132660,94.310196,-585.876648,725.000000
-357.913574,94.305458,-586.199829,726.000000
-357.465363,94.295670,-586.831726,726.000000
-356.767426,94.279709,-587.745789,727.000000
-356.528198,94.273796,-588.041687,727.000000
-356.285583,94.267662,-588.332886,728.000000
-355.281616,94.240791,-589.453003,729.000000
-355.022797,94.233734,-589.721069,729.000000
-354.760956,94.226189,-589.985107,730.000000
-353.957245,94.201317,-590.752197,731.000000
-353.406464,94.183098,-591.243469,732.000000
-353.127777,94.173546,-591.482239,733.000000
-351.697784,94.120705,-592.618225,734.000000
-351.407501,94.109993,-592.831360,734.000000
-350.227020,94.065727,-593.640808,736.000000
-349.926819,94.054604,-593.832947,737.000000
-349.623993,94.043144,-594.021362,739.000000
-348.700287,94.010727,-594.558350,740.000000
-348.072021,93.992607,-594.891541,742.000000
-347.432709,93.976624,-595.205444,744.000000
-346.456543,93.957169,-595.637939,746.000000
-346.126129,93.951721,-595.771973,747.000000
-345.794159,93.947029,-595.900146,750.000000
-344.104126,93.937508,-596.453125,752.000000
-343.758911,93.937492,-596.547119,753.000000
-342.723236,93.936569,-596.796692,756.000000
-341.675476,93.932854,-597.001831,756.000000
-341.323761,93.931061,-597.060242,757.000000
-340.260345,93.925323,-597.203735,759.000000
-339.546448,93.920654,-597.271851,759.000000
-339.188965,93.917992,-597.297485,760.000000
-337.399384,93.899750,-597.338074,761.000000
-337.043335,93.894981,-597.328613,762.000000
-335.268921,93.869560,-597.188416,763.000000
-334.915222,93.865540,-597.140625,764.000000
-334.209320,93.859192,-597.024597,764.000000
-333.153992,93.850723,-596.803955,765.000000
-332.802948,93.847412,-596.718811,766.000000
-332.106598,93.839813,-596.532410,766.000000
-331.759888,93.835747,-596.430664,767.000000
-331.068695,93.827629,-596.209412,767.000000
-330.724701,93.823761,-596.089966,768.000000
-329.701752,93.813004,-595.696655,769.000000
-329.028564,93.804985,-595.408691,770.000000
-328.693359,93.800430,-595.257141,770.000000
-327.029266,93.773140,-594.421265,772.000000
-326.698944,93.766983,-594.239136,772.000000
-326.041077,93.753860,-593.859497,773.000000
-325.713470,93.746971,-593.662292,774.000000
-324.734619,93.725479,-593.039795,774.000000
-324.411407,93.718201,-592.822266,775.000000
